Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
WL,1,0,18,18,TC,100000,300000,5.8375
WL,1,0,19,19,TC,100000,300000,5.875
WL,1,0,20,20,TC,100000,300000,5.9125
WL,1,0,21,21,TC,100000,300000,6.2
WL,1,0,22,22,TC,100000,300000,6.475
WL,1,0,23,23,TC,100000,300000,6.7625
WL,1,0,24,24,TC,100000,300000,7.05
WL,1,0,25,25,TC,100000,300000,7.3375
WL,1,0,26,26,TC,100000,300000,7.6125
WL,1,0,27,27,TC,100000,300000,7.9
WL,1,0,28,28,TC,100000,300000,8.1875
WL,1,0,29,29,TC,100000,300000,8.4625
WL,1,0,30,30,TC,100000,300000,8.75
WL,1,0,31,31,TC,100000,300000,9.2375
WL,1,0,32,32,TC,100000,300000,9.7375
WL,1,0,33,33,TC,100000,300000,10.225
WL,1,0,34,34,TC,100000,300000,10.725
WL,1,0,35,35,TC,100000,300000,11.2125
WL,1,0,36,36,TC,100000,300000,11.7
WL,1,0,37,37,TC,100000,300000,12.2
WL,1,0,38,38,TC,100000,300000,12.6875
WL,1,0,39,39,TC,100000,300000,13.1875
WL,1,0,40,40,TC,100000,300000,13.675
WL,1,0,41,41,TC,100000,300000,14.5125
WL,1,0,42,42,TC,100000,300000,15.35
WL,1,0,43,43,TC,100000,300000,16.1875
WL,1,0,44,44,TC,100000,300000,17.025
WL,1,0,45,45,TC,100000,300000,17.8625
WL,1,0,46,46,TC,100000,300000,18.6875
WL,1,0,47,47,TC,100000,300000,19.525
WL,1,0,48,48,TC,100000,300000,20.3625
WL,1,0,49,49,TC,100000,300000,21.2
WL,1,0,50,50,TC,100000,300000,22.0375
WL,1,0,51,51,TC,100000,300000,23.525
WL,1,0,52,52,TC,100000,300000,25
WL,1,0,53,53,TC,100000,300000,26.4875
WL,1,0,54,54,TC,100000,300000,27.975
WL,1,0,55,55,TC,100000,300000,29.4625
WL,1,0,56,56,TC,100000,300000,30.9375
WL,1,0,57,57,TC,100000,300000,32.425
WL,1,0,58,58,TC,100000,300000,33.9125
