Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
GIBRALTAR_L_TERM10,0,1,63,63,ST,20000,300000,30.27
GIBRALTAR_L_TERM10,1,0,39,39,ST,20000,300000,3.60
GIBRALTAR_L_TERM10,0,0,23,23,ST,20000,300000,2.66
GIBRALTAR_L_TERM10,0,0,22,22,PF,20000,300000,2.31
GIBRALTAR_L_TERM10,1,1,69,69,PP,20000,300000,40.31
GIBRALTAR_L_TERM10,1,1,42,42,TC,20000,300000,10.47
GIBRALTAR_L_TERM10,0,0,47,47,PF,20000,300000,3.77
GIBRALTAR_L_TERM10,1,1,44,44,PF,20000,300000,8.33
GIBRALTAR_L_TERM10,0,0,24,24,TF,20000,300000,3.66
GIBRALTAR_L_TERM10,1,0,35,35,TF,20000,300000,4.62
GIBRALTAR_L_TERM10,0,1,44,44,TF,20000,300000,10.63
GIBRALTAR_L_TERM10,1,0,49,49,ST,20000,300000,5.58
GIBRALTAR_L_TERM10,0,1,69,69,TF,20000,300000,61.43
GIBRALTAR_L_TERM10,1,0,31,31,TC,20000,300000,3.91
GIBRALTAR_L_TERM10,0,0,38,38,ST,20000,300000,3.14
GIBRALTAR_L_TERM10,1,1,67,67,ST,20000,300000,48.04
GIBRALTAR_L_TERM10,1,0,52,52,TC,20000,300000,8.67
GIBRALTAR_L_TERM10,1,1,68,68,ST,20000,300000,50.88
GIBRALTAR_L_TERM10,1,0,34,34,TC,20000,300000,4.13
GIBRALTAR_L_TERM10,0,0,68,68,TF,20000,300000,23.03
GIBRALTAR_L_TERM10,0,0,20,20,ST,20000,300000,2.62
GIBRALTAR_L_TERM10,1,1,52,52,ST,20000,300000,15.93
GIBRALTAR_L_TERM10,1,1,20,20,TC,20000,300000,5.83
GIBRALTAR_L_TERM10,1,1,55,55,TF,20000,300000,28.17
GIBRALTAR_L_TERM10,1,1,25,25,TF,20000,300000,6.70
GIBRALTAR_L_TERM10,0,0,22,22,ST,20000,300000,2.64
GIBRALTAR_L_TERM10,0,1,40,40,TC,20000,300000,7.46
GIBRALTAR_L_TERM10,1,1,54,54,PP,20000,300000,14.24
GIBRALTAR_L_TERM10,0,1,47,47,ST,20000,300000,9.05
GIBRALTAR_L_TERM10,0,1,34,34,PF,20000,300000,4.40
GIBRALTAR_L_TERM10,0,0,27,27,ST,20000,300000,2.70
GIBRALTAR_L_TERM10,0,1,48,48,TC,20000,300000,11.86
GIBRALTAR_L_TERM10,0,0,66,66,ST,20000,300000,14.74
GIBRALTAR_L_TERM10,0,1,19,19,ST,20000,300000,3.78
GIBRALTAR_L_TERM10,0,0,28,28,PF,20000,300000,2.38
GIBRALTAR_L_TERM10,0,0,70,70,ST,20000,300000,18.73
GIBRALTAR_L_TERM10,0,1,27,27,ST,20000,300000,4.22
GIBRALTAR_L_TERM10,1,1,37,37,PP,20000,300000,4.95
GIBRALTAR_L_TERM10,1,1,42,42,PP,20000,300000,6.28
GIBRALTAR_L_TERM10,1,1,26,26,ST,20000,300000,4.92
GIBRALTAR_L_TERM10,1,0,50,50,PF,20000,300000,5.07
GIBRALTAR_L_TERM10,0,1,53,53,PF,20000,300000,12.41
GIBRALTAR_L_TERM10,1,1,34,34,TF,20000,300000,8.18
GIBRALTAR_L_TERM10,0,0,37,37,PP,20000,300000,2.31
GIBRALTAR_L_TERM10,1,0,29,29,PP,20000,300000,2.30
GIBRALTAR_L_TERM10,1,0,58,58,TC,20000,300000,12.91
GIBRALTAR_L_TERM10,1,0,27,27,ST,20000,300000,3.02
GIBRALTAR_L_TERM10,1,0,49,49,TF,20000,300000,7.67
GIBRALTAR_L_TERM10,1,1,36,36,TF,20000,300000,8.76
GIBRALTAR_L_TERM10,0,0,54,54,ST,20000,300000,6.38
GIBRALTAR_L_TERM10,0,1,36,36,PP,20000,300000,4.00
GIBRALTAR_L_TERM10,1,0,22,22,TF,20000,300000,4.07
