Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rate
GIBRALTAR_L_WL,0,1,75,75,TF,20000,300000,149.7
GIBRALTAR_L_WL,1,0,40,40,PP,20000,300000,7.11
GIBRALTAR_L_WL,1,1,46,46,TC,20000,300000,22.45
GIBRALTAR_L_WL,0,1,43,43,TF,20000,300000,18.97
GIBRALTAR_L_WL,0,0,65,65,TF,20000,300000,35.32
GIBRALTAR_L_WL,0,1,38,38,ST,20000,300000,11.19
GIBRALTAR_L_WL,0,0,67,67,TF,20000,300000,38.85
GIBRALTAR_L_WL,1,0,68,68,PP,20000,300000,26.58
GIBRALTAR_L_WL,0,1,51,51,TF,20000,300000,26.51
GIBRALTAR_L_WL,0,0,60,60,TF,20000,300000,26.5
GIBRALTAR_L_WL,0,1,26,26,TF,20000,300000,9.99
GIBRALTAR_L_WL,0,1,45,45,ST,20000,300000,15.03
GIBRALTAR_L_WL,1,0,65,65,TC,20000,300000,38.46
GIBRALTAR_L_WL,1,0,28,28,TF,20000,300000,8.49
GIBRALTAR_L_WL,0,0,54,54,PF,20000,300000,13.14
GIBRALTAR_L_WL,1,1,78,78,PP,20000,300000,122.21
GIBRALTAR_L_WL,1,0,38,38,PF,20000,300000,7.78
GIBRALTAR_L_WL,0,1,41,41,PP,20000,300000,9.43
GIBRALTAR_L_WL,1,1,30,30,PF,20000,300000,8.02
GIBRALTAR_L_WL,0,0,48,48,ST,20000,300000,11.36
GIBRALTAR_L_WL,0,0,78,78,PP,20000,300000,68.37
GIBRALTAR_L_WL,1,1,53,53,TC,20000,300000,31.11
GIBRALTAR_L_WL,1,0,73,73,PF,20000,300000,56.99
GIBRALTAR_L_WL,1,1,33,33,PF,20000,300000,9.16
GIBRALTAR_L_WL,1,0,33,33,PF,20000,300000,6.48
GIBRALTAR_L_WL,1,1,35,35,PP,20000,300000,8.49
GIBRALTAR_L_WL,0,0,74,74,TC,20000,300000,77.04
GIBRALTAR_L_WL,0,0,69,69,TC,20000,300000,38.51
GIBRALTAR_L_WL,0,1,79,79,ST,20000,300000,155.45
GIBRALTAR_L_WL,0,1,54,54,TF,20000,300000,31.45
GIBRALTAR_L_WL,0,0,30,30,TF,20000,300000,7.84
GIBRALTAR_L_WL,1,1,57,57,ST,20000,300000,30.17
GIBRALTAR_L_WL,1,0,55,55,PP,20000,300000,14.04
GIBRALTAR_L_WL,0,0,29,29,PP,20000,300000,4.18
GIBRALTAR_L_WL,1,0,42,42,PP,20000,300000,7.85
GIBRALTAR_L_WL,0,0,28,28,TC,20000,300000,6.77
GIBRALTAR_L_WL,0,1,79,79,TF,20000,300000,213.75
GIBRALTAR_L_WL,1,1,27,27,PP,20000,300000,6.33
GIBRALTAR_L_WL,0,1,48,48,TC,20000,300000,21.08
GIBRALTAR_L_WL,1,0,49,49,ST,20000,300000,13.94
GIBRALTAR_L_WL,0,1,34,34,ST,20000,300000,9.67
GIBRALTAR_L_WL,1,0,59,59,PP,20000,300000,16.6
GIBRALTAR_L_WL,0,0,25,25,PP,20000,300000,3.74
GIBRALTAR_L_WL,1,1,33,33,TF,20000,300000,14.38
GIBRALTAR_L_WL,1,0,44,44,PF,20000,300000,10.04
GIBRALTAR_L_WL,1,1,37,37,TF,20000,300000,16.77
GIBRALTAR_L_WL,0,1,34,34,TC,20000,300000,12.09
GIBRALTAR_L_WL,0,0,39,39,TF,20000,300000,10.91
GIBRALTAR_L_WL,1,0,65,65,ST,20000,300000,30.76
GIBRALTAR_L_WL,1,1,23,23,PP,20000,300000,5.62
GIBRALTAR_L_WL,0,0,45,45,ST,20000,300000,10.16
GIBRALTAR_L_WL,0,0,58,58,PF,20000,300000,15.62
GIBRALTAR_L_WL,1,0,55,55,PF,20000,300000,16.38
GIBRALTAR_L_WL,0,1,54,54,PF,20000,300000,20.01
GIBRALTAR_L_WL,0,1,32,32,ST,20000,300000,8.9
GIBRALTAR_L_WL,1,1,32,32,PP,20000,300000,7.53
GIBRALTAR_L_WL,0,1,28,28,PF,20000,300000,6.74
GIBRALTAR_L_WL,1,0,57,57,TF,20000,300000,28.09
GIBRALTAR_L_WL,0,1,68,68,PP,20000,300000,34.88
GIBRALTAR_L_WL,1,0,24,24,TC,20000,300000,6.86
GIBRALTAR_L_WL,0,0,31,31,PP,20000,300000,4.45
GIBRALTAR_L_WL,1,0,23,23,TC,20000,300000,6.66
GIBRALTAR_L_WL,0,1,30,30,PP,20000,300000,6.11
GIBRALTAR_L_WL,0,1,58,58,PP,20000,300000,20.73
GIBRALTAR_L_WL,1,0,42,42,TF,20000,300000,14.41
GIBRALTAR_L_WL,0,0,64,64,PP,20000,300000,18.3
GIBRALTAR_L_WL,1,1,33,33,ST,20000,300000,10.47
GIBRALTAR_L_WL,0,0,71,71,ST,20000,300000,39.48
GIBRALTAR_L_WL,0,1,22,22,PF,20000,300000,5.59
GIBRALTAR_L_WL,0,1,71,71,ST,20000,300000,62.29
GIBRALTAR_L_WL,0,0,66,66,TC,20000,300000,33.72
GIBRALTAR_L_WL,0,0,32,32,PF,20000,300000,5.43
GIBRALTAR_L_WL,1,1,64,64,TF,20000,300000,59.71
GIBRALTAR_L_WL,1,0,23,23,PP,20000,300000,3.99
GIBRALTAR_L_WL,1,0,80,80,PP,20000,300000,95.39
GIBRALTAR_L_WL,1,0,38,38,TC,20000,300000,11.11
GIBRALTAR_L_WL,0,0,70,70,TF,20000,300000,44.14
GIBRALTAR_L_WL,0,1,34,34,PF,20000,300000,8.46
GIBRALTAR_L_WL,0,0,67,67,TC,20000,300000,35.32
GIBRALTAR_L_WL,1,1,47,47,ST,20000,300000,18.7
GIBRALTAR_L_WL,0,1,35,35,TC,20000,300000,12.56
GIBRALTAR_L_WL,0,0,70,70,TC,20000,300000,40.12
GIBRALTAR_L_WL,0,1,71,71,TF,20000,300000,85.64
GIBRALTAR_L_WL,0,0,72,72,TF,20000,300000,64.44
GIBRALTAR_L_WL,0,0,49,49,TF,20000,300000,16.17
GIBRALTAR_L_WL,1,1,50,50,TF,20000,300000,28.78
GIBRALTAR_L_WL,1,1,24,24,ST,20000,300000,7.72
