Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,rates
TERM10D,0,1,67,67,TF,25000,99000,98.05
TERM10D,0,1,68,68,TF,25000,99000,103.95
TERM10D,0,1,69,69,TF,25000,99000,109.875
TERM10D,0,1,70,70,TF,25000,99000,115.775
TERM10D,1,0,18,18,TF,25000,99000,7.125
TERM10D,1,0,19,19,TF,25000,99000,7.2
TERM10D,1,0,20,20,TF,25000,99000,7.25
TERM10D,1,0,21,21,TF,25000,99000,7.275
TERM10D,1,0,22,22,TF,25000,99000,7.3
TERM10D,1,0,23,23,TF,25000,99000,7.35
TERM10D,1,0,24,24,TF,25000,99000,7.375
TERM10D,1,0,25,25,TF,25000,99000,7.4
TERM10D,1,0,26,26,TF,25000,99000,7.425
TERM10D,1,0,27,27,TF,25000,99000,7.45
TERM10D,1,0,28,28,TF,25000,99000,7.5
TERM10D,1,0,29,29,TF,25000,99000,7.525
TERM10D,1,0,30,30,TF,25000,99000,7.55
TERM10D,1,0,31,31,TF,25000,99000,7.7
TERM10D,1,0,32,32,TF,25000,99000,7.85
TERM10D,1,0,33,33,TF,25000,99000,7.975
TERM10D,1,0,34,34,TF,25000,99000,8.125
TERM10D,1,0,35,35,TF,25000,99000,8.275
TERM10D,1,0,36,36,TF,25000,99000,8.425
TERM10D,1,0,37,37,TF,25000,99000,8.575
TERM10D,1,0,38,38,TF,25000,99000,8.7
TERM10D,1,0,39,39,TF,25000,99000,8.85
TERM10D,1,0,40,40,TF,25000,99000,9
TERM10D,1,0,41,41,TF,25000,99000,9.525
TERM10D,1,0,42,42,TF,25000,99000,10.05
TERM10D,1,0,43,43,TF,25000,99000,10.575
TERM10D,1,0,44,44,TF,25000,99000,11.1
TERM10D,1,0,45,45,TF,25000,99000,11.625
TERM10D,1,0,46,46,TF,25000,99000,12.15
TERM10D,1,0,47,47,TF,25000,99000,12.675
TERM10D,1,0,48,48,TF,25000,99000,13.2
TERM10D,1,0,49,49,TF,25000,99000,13.725
TERM10D,1,0,50,50,TF,25000,99000,14.25
TERM10D,1,0,51,51,TF,25000,99000,15.65
TERM10D,1,0,52,52,TF,25000,99000,17.05
TERM10D,1,0,53,53,TF,25000,99000,18.425
TERM10D,1,0,54,54,TF,25000,99000,19.825
TERM10D,1,0,55,55,TF,25000,99000,21.225
TERM10D,1,0,56,56,TF,25000,99000,22.625
TERM10D,1,0,57,57,TF,25000,99000,24.025
TERM10D,1,0,58,58,TF,25000,99000,25.4
TERM10D,1,0,59,59,TF,25000,99000,26.8
TERM10D,1,0,60,60,TF,25000,99000,28.2
TERM10D,1,0,61,61,TF,25000,99000,31.6
TERM10D,1,0,62,62,TF,25000,99000,35
TERM10D,1,0,63,63,TF,25000,99000,38.4
TERM10D,1,0,64,64,TF,25000,99000,41.8
TERM10D,1,0,65,65,TF,25000,99000,45.225
TERM10D,1,0,66,66,TF,25000,99000,48.625
TERM10D,1,0,67,67,TF,25000,99000,52.025
TERM10D,1,0,68,68,TF,25000,99000,55.425
TERM10D,1,0,69,69,TF,25000,99000,58.825
TERM10D,1,0,70,70,TF,25000,99000,62.225
TERM10D,1,1,18,18,TF,25000,99000,11.3
TERM10D,1,1,19,19,TF,25000,99000,11.4
TERM10D,1,1,20,20,TF,25000,99000,11.475
TERM10D,1,1,21,21,TF,25000,99000,11.575
TERM10D,1,1,22,22,TF,25000,99000,11.675
TERM10D,1,1,23,23,TF,25000,99000,11.775
TERM10D,1,1,24,24,TF,25000,99000,11.875
TERM10D,1,1,25,25,TF,25000,99000,12
TERM10D,1,1,26,26,TF,25000,99000,12.1
TERM10D,1,1,27,27,TF,25000,99000,12.2
TERM10D,1,1,28,28,TF,25000,99000,12.3
TERM10D,1,1,29,29,TF,25000,99000,12.4
TERM10D,1,1,30,30,TF,25000,99000,12.5
TERM10D,1,1,31,31,TF,25000,99000,13.025
TERM10D,1,1,32,32,TF,25000,99000,13.55
TERM10D,1,1,33,33,TF,25000,99000,14.1
TERM10D,1,1,34,34,TF,25000,99000,14.625
TERM10D,1,1,35,35,TF,25000,99000,15.15
TERM10D,1,1,36,36,TF,25000,99000,15.675
TERM10D,1,1,37,37,TF,25000,99000,16.2
TERM10D,1,1,38,38,TF,25000,99000,16.75
TERM10D,1,1,39,39,TF,25000,99000,17.275
TERM10D,1,1,40,40,TF,25000,99000,17.8
TERM10D,1,1,41,41,TF,25000,99000,19.2
TERM10D,1,1,42,42,TF,25000,99000,20.6
TERM10D,1,1,43,43,TF,25000,99000,21.975
TERM10D,1,1,44,44,TF,25000,99000,23.375
TERM10D,1,1,45,45,TF,25000,99000,24.775
TERM10D,1,1,46,46,TF,25000,99000,26.175
TERM10D,1,1,47,47,TF,25000,99000,27.575
TERM10D,1,1,48,48,TF,25000,99000,28.95
TERM10D,1,1,49,49,TF,25000,99000,30.35
TERM10D,1,1,50,50,TF,25000,99000,31.75
TERM10D,1,1,51,51,TF,25000,99000,35.475
TERM10D,1,1,52,52,TF,25000,99000,39.2
TERM10D,1,1,53,53,TF,25000,99000,42.925
TERM10D,1,1,54,54,TF,25000,99000,46.65
TERM10D,1,1,55,55,TF,25000,99000,50.375
TERM10D,1,1,56,56,TF,25000,99000,54.075
TERM10D,1,1,57,57,TF,25000,99000,57.8
TERM10D,1,1,58,58,TF,25000,99000,61.525
TERM10D,1,1,59,59,TF,25000,99000,65.25
TERM10D,1,1,60,60,TF,25000,99000,68.975
TERM10D,1,1,61,61,TF,25000,99000,76
TERM10D,1,1,62,62,TF,25000,99000,83.025
TERM10D,1,1,63,63,TF,25000,99000,90.025
TERM10D,1,1,64,64,TF,25000,99000,97.05
TERM10D,1,1,65,65,TF,25000,99000,104.075
TERM10D,1,1,66,66,TF,25000,99000,111.1
TERM10D,1,1,67,67,TF,25000,99000,118.125
TERM10D,1,1,68,68,TF,25000,99000,125.125
TERM10D,1,1,69,69,TF,25000,99000,132.15
TERM10D,1,1,70,70,TF,25000,99000,139.175
