Option Cd,Gender,tobacco use,min age,max age,class,min level,max level,
TERM15D,0,0,19,19,TC,500000,1000000,1.2775
TERM15D,0,0,20,20,TC,500000,1000000,1.3125
TERM15D,0,0,21,21,TC,500000,1000000,1.3475
TERM15D,0,0,22,22,TC,500000,1000000,1.3825
TERM15D,0,0,23,23,TC,500000,1000000,1.4
TERM15D,0,0,24,24,TC,500000,1000000,1.435
TERM15D,0,0,25,25,TC,500000,1000000,1.47
TERM15D,0,0,26,26,TC,500000,1000000,1.505
TERM15D,0,0,27,27,TC,500000,1000000,1.54
TERM15D,0,0,28,28,TC,500000,1000000,1.5575
TERM15D,0,0,29,29,TC,500000,1000000,1.5925
TERM15D,0,0,30,30,TC,500000,1000000,1.6275
TERM15D,0,0,31,31,TC,500000,1000000,1.715
TERM15D,0,0,32,32,TC,500000,1000000,1.8025
TERM15D,0,0,33,33,TC,500000,1000000,1.89
TERM15D,0,0,34,34,TC,500000,1000000,1.9775
TERM15D,0,0,35,35,TC,500000,1000000,2.065
TERM15D,0,0,36,36,TC,500000,1000000,2.135
TERM15D,0,0,37,37,TC,500000,1000000,2.2225
TERM15D,0,0,38,38,TC,500000,1000000,2.31
TERM15D,0,0,39,39,TC,500000,1000000,2.3975
TERM15D,0,0,40,40,TC,500000,1000000,2.485
TERM15D,0,0,41,41,TC,500000,1000000,2.7475
TERM15D,0,0,42,42,TC,500000,1000000,3.01
TERM15D,0,0,43,43,TC,500000,1000000,3.255
TERM15D,0,0,44,44,TC,500000,1000000,3.5175
TERM15D,0,0,45,45,TC,500000,1000000,3.78
TERM15D,0,0,46,46,TC,500000,1000000,4.0425
TERM15D,0,0,47,47,TC,500000,1000000,4.305
TERM15D,0,0,48,48,TC,500000,1000000,4.55
TERM15D,0,0,49,49,TC,500000,1000000,4.8125
TERM15D,0,0,50,50,TC,500000,1000000,5.075
TERM15D,0,0,51,51,TC,500000,1000000,5.7575
TERM15D,0,0,52,52,TC,500000,1000000,6.44
TERM15D,0,0,53,53,TC,500000,1000000,7.1225
TERM15D,0,0,54,54,TC,500000,1000000,7.805
TERM15D,0,0,55,55,TC,500000,1000000,8.4875
TERM15D,0,0,56,56,TC,500000,1000000,9.17
TERM15D,0,0,57,57,TC,500000,1000000,9.8525
TERM15D,0,0,58,58,TC,500000,1000000,10.535
TERM15D,0,0,59,59,TC,500000,1000000,11.2175
TERM15D,0,0,60,60,TC,500000,1000000,11.9
TERM15D,0,0,61,61,TC,500000,1000000,13.23
TERM15D,0,0,62,62,TC,500000,1000000,14.5425
TERM15D,0,0,63,63,TC,500000,1000000,15.8725
TERM15D,0,0,64,64,TC,500000,1000000,17.185
TERM15D,0,0,65,65,TC,500000,1000000,18.515
TERM15D,0,1,18,18,TC,500000,1000000,2.0825
TERM15D,0,1,19,19,TC,500000,1000000,2.17
