UW Class,Min Age,Max Age,Height,Min Weight,Max Weight,Gender,Smoker,Plan Code,MinFaceAmount,MaxFaceAmount
TC,18,99,172.72,125.6450865,127.9130483,,,,300001,9999999
TC,18,99,175.26,129.2738255,131.9953797,,,,300001,9999999
TC,18,99,177.8,132.9025644,135.6241186,,,,300001,9999999
TC,18,99,180.34,136.9848957,139.70645,,,,300001,9999999
TC,18,99,182.88,140.6136347,143.7887813,,,,300001,9999999
TC,18,99,185.42,144.695966,147.4175203,,,,300001,9999999
TC,18,99,187.96,148.7782974,151.4998516,,,,300001,9999999
TC,18,99,190.5,152.8606287,156.0357753,,,,300001,9999999
TC,18,99,193.04,156.94296,160.1181066,,,,300001,9999999
TC,18,99,195.58,161.0252914,164.2004379,,,,300001,9999999
TC,18,99,198.12,165.1076227,168.7363616,,,,300001,9999999
TC,18,99,200.66,169.189954,172.818693,,,,300001,9999999
TC,18,99,203.2,173.7258777,177.3546167,,,,300001,9999999
TF,18,99,144.78,90.26488163,100.2439138,,,,300001,9999999
TF,18,99,147.32,93.44002822,103.8726527,,,,300001,9999999
TF,18,99,149.86,96.61517481,107.5013917,,,,300001,9999999
TF,18,99,152.4,100.2439138,111.1301307,,,,300001,9999999
TF,18,99,154.94,103.4190604,115.212462,,,,300001,9999999
TF,18,99,157.48,107.0477993,118.8412009,,,,300001,9999999
TF,18,99,160.02,110.2229459,122.9235323,,,,300001,9999999
TF,18,99,162.56,113.8516849,126.5522712,,,,300001,9999999
TF,18,99,165.1,117.4804238,130.6346026,,,,300001,9999999
TF,18,99,167.64,121.1091628,134.7169339,,,,300001,9999999
TF,18,99,170.18,124.7379018,138.7992652,,,,300001,9999999
TF,18,99,172.72,128.3666407,142.8815966,,,,300001,9999999
TF,18,99,175.26,132.448972,147.4175203,,,,300001,9999999
TF,18,99,177.8,136.077711,156.0357753,,,,300001,9999999
TF,18,99,180.34,140.1600423,156.0357753,,,,300001,9999999
TF,18,99,182.88,144.2423737,160.571699,,,,300001,9999999
TF,18,99,185.42,147.8711126,164.6540303,,,,300001,9999999
TF,18,99,187.96,151.953444,169.189954,,,,300001,9999999
TF,18,99,190.5,156.4893677,174.1794701,,,,300001,9999999
TF,18,99,193.04,160.571699,178.7153938,,,,300001,9999999
TF,18,99,195.58,164.6540303,183.2513175,,,,300001,9999999
TF,18,99,198.12,169.189954,188.2408336,,,,300001,9999999
TF,18,99,200.66,173.2722853,193.2303496,,,,300001,9999999
TF,18,99,203.2,177.808209,198.2198657,,,,300001,9999999
PF,18,44,144.78,35.83379723,68.94604024,,,,0,300000
PF,18,44,147.32,36.74098197,71.21400209,,,,0,300000
PF,18,44,149.86,38.10175908,73.93555631,,,,0,300000
PF,18,44,152.4,39.46253619,76.20351816,,,,0,300000
PF,18,44,154.94,40.8233133,78.92507238,,,,0,300000
PF,18,44,157.48,42.18409041,81.6466266,,,,0,300000
PF,18,44,160.02,43.54486752,84.36818082,,,,0,300000
PF,18,44,162.56,44.90564463,87.08973504,,,,0,300000
PF,18,44,165.1,46.26642174,89.81128926,,,,0,300000
PF,18,44,167.64,47.62719885,92.53284348,,,,0,300000
PF,18,44,170.18,49.44156833,95.2543977,,,,0,300000
PF,18,44,172.72,50.80234544,97.97595192,,,,0,300000
PF,18,44,175.26,52.16312255,101.1510985,,,,0,300000
PF,18,44,177.8,53.52389966,103.8726527,,,,0,300000
PF,18,44,180.34,55.33826914,107.0477993,,,,0,300000
PF,18,44,182.88,56.69904625,110.2229459,,,,0,300000
PF,18,44,185.42,58.51341573,112.9445001,,,,0,300000
PF,18,44,187.96,59.87419284,116.1196467,,,,0,300000
PF,18,44,190.5,61.68856232,119.2947933,,,,0,300000
PF,18,44,193.04,63.5029318,122.4699399,,,,0,300000
PF,18,44,195.58,64.86370891,125.6450865,,,,0,300000
PF,18,44,198.12,66.67807839,129.2738255,,,,0,300000
PF,18,44,200.66,68.49244787,132.448972,,,,0,300000
PF,18,44,203.2,70.30681735,136.077711,,,,0,300000
ST,18,44,144.78,69.39963261,75.29633342,,,,0,300000
ST,18,44,147.32,71.66759446,78.01788764,,,,0,300000
ST,18,44,149.86,74.38914868,80.73944186,,,,0,300000
ST,18,44,152.4,76.65711053,83.46099608,,,,0,300000
ST,18,44,154.94,79.37866475,86.1825503,,,,0,300000
ST,18,44,157.48,82.10021897,88.90410452,,,,0,300000
ST,18,44,160.02,84.82177319,92.07925111,,,,0,300000
ST,18,44,162.56,87.54332741,94.80080533,,,,0,300000
ST,18,44,165.1,90.26488163,97.97595192,,,,0,300000
ST,18,44,167.64,92.98643585,100.6975061,,,,0,300000
ST,18,44,170.18,95.70799007,103.8726527,,,,0,300000
ST,18,44,172.72,98.42954429,107.0477993,,,,0,300000
ST,18,44,175.26,101.6046909,110.2229459,,,,0,300000
ST,18,44,177.8,104.3262451,113.3980925,,,,0,300000
ST,18,44,180.34,107.5013917,116.5732391,,,,0,300000
ST,18,44,182.88,110.6765383,120.2019781,,,,0,300000
ST,18,44,185.42,113.3980925,123.3771246,,,,0,300000
ST,18,44,187.96,116.5732391,127.0058636,,,,0,300000
ST,18,44,190.5,119.7483857,130.1810102,,,,0,300000
ST,18,44,193.04,122.9235323,133.8097492,,,,0,300000
ST,18,44,195.58,126.0986789,137.4384881,,,,0,300000
ST,18,44,198.12,129.7274178,141.0672271,,,,0,300000
ST,18,44,200.66,132.9025644,144.695966,,,,0,300000
ST,18,44,203.2,136.5313034,148.324705,,,,0,300000
TC,18,44,144.78,75.749864,81.64656,,,,0,300000
TC,18,44,147.32,78.471416,84.368112,,,,0,300000
TC,18,44,149.86,81.192968,87.543256,,,,0,300000
TC,18,44,152.4,83.91452,90.264808,,,,0,300000
TC,18,44,154.94,86.636072,93.439952,,,,0,300000
TC,18,44,157.48,89.357624,96.615096,,,,0,300000
TC,18,44,160.02,92.532768,99.79024,,,,0,300000
TC,18,44,162.56,95.25432,102.965384,,,,0,300000
TC,18,44,165.1,98.429464,106.140528,,,,0,300000
TC,18,44,167.64,101.604608,109.315672,,,,0,300000
TC,18,44,170.18,104.32616,112.490816,,,,0,300000
TC,18,44,172.72,107.501304,116.119552,,,,0,300000
TC,18,44,175.26,110.676448,119.294696,,,,0,300000
TC,18,44,177.8,113.851592,122.923432,,,,0,300000
TC,18,44,180.34,117.026736,126.552168,,,,0,300000
TC,18,44,182.88,120.655472,130.180904,,,,0,300000
TC,18,44,185.42,123.830616,133.80964,,,,0,300000
TC,18,44,187.96,127.459352,137.438376,,,,0,300000
TC,18,44,190.5,130.634496,141.067112,,,,0,300000
TC,18,44,193.04,134.263232,145.14944,,,,0,300000
TC,18,44,195.58,137.891968,148.778176,,,,0,300000
TC,18,44,198.12,141.520704,152.860504,,,,0,300000
TC,18,44,200.66,145.14944,156.48924,,,,0,300000
TC,18,44,203.2,148.778176,160.571568,,,,0,300000
TF,18,44,144.78,75.74992579,81.6466266,,,,0,300000
TF,18,44,147.32,78.47148001,84.36818082,,,,0,300000
TF,18,44,149.86,81.19303423,87.54332741,,,,0,300000
TF,18,44,152.4,83.91458845,90.26488163,,,,0,300000
TF,18,44,154.94,86.63614267,93.44002822,,,,0,300000
TF,18,44,157.48,89.35769689,96.61517481,,,,0,300000
TF,18,44,160.02,92.53284348,99.7903214,,,,0,300000
TF,18,44,162.56,95.2543977,102.965468,,,,0,300000
TF,18,44,165.1,98.42954429,106.1406146,,,,0,300000
TF,18,44,167.64,101.6046909,109.3157612,,,,0,300000
TF,18,44,170.18,104.3262451,112.4909078,,,,0,300000
TF,18,44,172.72,107.5013917,116.1196467,,,,0,300000
TF,18,44,175.26,110.6765383,119.2947933,,,,0,300000
TF,18,44,177.8,113.8516849,122.9235323,,,,0,300000
TF,18,44,180.34,117.0268315,126.5522712,,,,0,300000
TF,18,44,182.88,120.6555704,130.1810102,,,,0,300000
TF,18,44,185.42,123.830717,133.8097492,,,,0,300000
TF,18,44,187.96,127.459456,137.4384881,,,,0,300000
TF,18,44,190.5,130.6346026,141.0672271,,,,0,300000
TF,18,44,193.04,134.2633415,145.1495584,,,,0,300000
TF,18,44,195.58,137.8920805,148.7782974,,,,0,300000
TF,18,44,198.12,141.5208194,152.8606287,,,,0,300000
TF,18,44,200.66,145.1495584,156.4893677,,,,0,300000
TF,18,44,203.2,148.7782974,160.571699,,,,0,300000
PF,45,99,144.78,35.83379723,68.94604024,,,,0,300000
PF,45,99,147.32,36.74098197,71.21400209,,,,0,300000
PF,45,99,149.86,38.10175908,73.93555631,,,,0,300000
PF,45,99,152.4,39.46253619,76.20351816,,,,0,300000
PF,45,99,154.94,40.8233133,78.92507238,,,,0,300000
PF,45,99,157.48,42.18409041,81.6466266,,,,0,300000
PF,45,99,160.02,43.54486752,84.36818082,,,,0,300000
PF,45,99,162.56,44.90564463,87.08973504,,,,0,300000
PF,45,99,165.1,46.26642174,89.81128926,,,,0,300000
PF,45,99,167.64,47.62719885,92.53284348,,,,0,300000
PF,45,99,170.18,49.44156833,95.2543977,,,,0,300000
PF,45,99,172.72,50.80234544,97.97595192,,,,0,300000
PF,45,99,175.26,52.16312255,101.1510985,,,,0,300000
PF,45,99,177.8,53.52389966,103.8726527,,,,0,300000
PF,45,99,180.34,55.33826914,107.0477993,,,,0,300000
PF,45,99,182.88,56.69904625,110.2229459,,,,0,300000
PF,45,99,185.42,58.51341573,112.9445001,,,,0,300000
PF,45,99,187.96,59.87419284,116.1196467,,,,0,300000
PF,45,99,190.5,61.68856232,119.2947933,,,,0,300000
PF,45,99,193.04,63.5029318,122.4699399,,,,0,300000
PF,45,99,195.58,64.86370891,125.6450865,,,,0,300000
PF,45,99,198.12,66.67807839,129.2738255,,,,0,300000
PF,45,99,200.66,68.49244787,132.448972,,,,0,300000
PF,45,99,203.2,70.30681735,136.077711,,,,0,300000
ST,45,99,144.78,69.39963261,75.29633342,,,,0,300000
ST,45,99,147.32,71.66759446,78.01788764,,,,0,300000
ST,45,99,149.86,74.38914868,80.73944186,,,,0,300000
ST,45,99,152.4,76.65711053,83.46099608,,,,0,300000
ST,45,99,154.94,79.83225712,86.1825503,,,,0,300000
ST,45,99,157.48,82.10021897,88.90410452,,,,0,300000
ST,45,99,160.02,84.82177319,92.07925111,,,,0,300000
ST,45,99,162.56,87.54332741,94.80080533,,,,0,300000
ST,45,99,165.1,90.26488163,97.97595192,,,,0,300000
ST,45,99,167.64,92.98643585,100.6975061,,,,0,300000
ST,45,99,170.18,95.70799007,103.8726527,,,,0,300000
ST,45,99,172.72,98.42954429,107.0477993,,,,0,300000
ST,45,99,175.26,101.6046909,110.2229459,,,,0,300000
ST,45,99,177.8,104.3262451,113.3980925,,,,0,300000
ST,45,99,180.34,107.5013917,116.5732391,,,,0,300000
ST,45,99,182.88,110.6765383,120.2019781,,,,0,300000
ST,45,99,185.42,113.3980925,123.3771246,,,,0,300000
ST,45,99,187.96,116.5732391,127.0058636,,,,0,300000
ST,45,99,190.5,119.7483857,130.1810102,,,,0,300000
ST,45,99,193.04,122.9235323,133.8097492,,,,0,300000
ST,45,99,195.58,126.0986789,137.4384881,,,,0,300000
